r,s,z
0x131fd75052923d0881603134a72d7e0e44b64a753b96bc5fbf37d61760af7d8,0x8b98af2a618af718e6bcdef522544503087959fa8cca8033b98794bedf1643,0xa9c1f9045789e6e77c40c51349d72b11787b409fd532487ed872ff0ee2a01610
0x240d8e494007cdb2ce08c131b3ee131cc39075f7ba202bbc5c5ccc1aa063c7f8,0x5784fbb6a1e822ccb7b77b76f4d67a684a7e68b9f0fabace610abf5703f14f7d,0xef4bb10757351a9e6253253ac2ab8c8677379c86c4d00e3f9e691e68568a18fa
0xc861fdf1b40a1a35b4db800bfbf8905adc6101c5dc15ea6013d5f8c120d29e17,0x21592b2ce7cd756029eef149c93be552e797e31a57210bad86cc788097e6ac49,0x161c511da9098f2db8ecfbbe6ecf7777afadd3174d1740eabe4b6bc447b488a2
0x7516c40e3af80da30fae9d20a772d2d0e0f45588ba06c9338604537e49fe965f,0x4019f0c19d7c3d27852792f9962c6094ee07374feafcdf8ecaebaeba29eafdd5,0xf4de5b613c7aeb4227c50e7c2bbb010702be71edeeb6f3be5f213aceb8646e8f
0x6a95aa8f8eec6256d617137141da77a06813bf4f60c91a035a40c378d6eb956d,0x4c21bc8e29e93e6afffc6011ce971f187415dd55458f569677bbc7a01207dced,0xa6fc48a57006b54c09c042b2df6c5fd8e960c53103f255073845bdfde7cbb898
0xefdda2d4179c0ed66e963f30f05b1b7bba7ccc8468fb488e450c241bad025f11,0x6d54aa5088431bc9ca4864740ecc9579b69d0379c36c3ecb8e855fc4b7dcb886,0xd3b148e5c00f5edfc6501436f3cfe2dac9428363ad41ec4938bbc99b1389b0af
0xae6e2ead549c47140ff2f5a2dfa7d338f3d3b95b815a367d99a21b6b49c07462,0x42199a327ed3ad4e709831f25071e0985581565010d6596fe13c6883dde5a668,0x809a7b6d1418504d319a8a01e3fdee6b478495bd2d0ce4557e65ee8867ccc01b
0xb28d503087383321f3c4b30f778afbba08f4626f9f276ad386f045263ac5cfc9,0x3fcd71ef7a3e77896ebb4c19b103f8a383607bee0c0ab897cb4dcc716149e7b0,0xae50594265b4bac8051b7b292ba52fbac3241e3e3d729d1795dfb3fdc61666e1
0x8de7a8a4ab07ace8078f830d307011c3ba5d6be65dcfffa8ebb83b4e78411ef6,0x788cee5fe81bbb62f6d65aa02297042653370622dd793a97155a71505d2ac398,0x99e4782d580cb3112f668b67661469417b480914c558e1f9d5be1134a4d1489b
0xee8490cfb2b900ff1445cff246d4bbbd6aa080c138ffc499b03c4421e1b8d111,0xbb84d0a0d40ad6d1f3a56404aaa8c4861def6f36c72bfec7773ae6a9dd7ed9,0x6ba24b62d7949be718827d8007b2990bb64d24b343c2fa87089154c7b7818638
0xa402d44b17857113d69d896998eac1b8351d8477a96aa78a9d06f01b35daba16,0x3e5aacb232c9408c24214a36eea94fd8dc0913b4c8e35802f56a361aa5ac0fed,0x34ab55e4baab91026cbe09f935684ded24a3439b8a135fe98bb701c32ebe2114
0x597b922a5136a237c46fd879e5d6ad8b37869bf6c278165ebfffda53067620e2,0xc485f695831226bc96cd0d188c491cae3eeb69a62d8c2d68b6e077d976eb5d3c,0xb7e54b21999eb762eb226582c2ad76da7783de6c756908307f2754edd237ef8b
0x5befa290fab8f5c842ebc50d19dd30b62e6767b8e0733113d4d401e9111a1da1,0xc2456975a991461817ebfb3874fc2f3fadc7212021f7a9359ebd7483873df225,0xc2f9588f408415345c495f80191dfabf6bf5dfa302d0c55e6b79de6fd92f39d4
0x71a1a16d3c6d480b7e4ebf68730e4daaeddd883d8639ba1ee8093971c8ca859a,0x31a8d0e18e6c778878a55eba4ea432afd9fdb0e874cae7fc874f8c938975e8cf,0xb6c7025864b2e56146cd1679b689287375460b3fd48c97846fbb998d8b6b994a
0x994265aa3e973877a54cda727b019dc92e429fab00bc67f3e48b933dc2db6792,0x41f82547b5a40009d6c9d96891527ef25a6ff1a304ade85f8c0116df9fa5707c,0xf3dba58a873431258841b8fde520d66c75c2dd08a66abf74066b55ad51dfa044
0xe58bbb8c645bd9d218ad4970c7be3adc9b635a5125e6601e88ffe6500cb534d1,0xfb21be07a39c61ca5d03ec24415b8b2132e74f2084543efb9bfaaa77558b59ec,0xadff534e930ebc62473ae183f6cda4ab942c74a12655a15239ff74bbf39e3887
0x3f0d35b0dcb853d11581e19c7d4fce25fadba8524af6cd226b4c21f8d9ec83ce,0x9c22bbfe456ec5f01be7a9827a05520598f291ed288b86b4c527417ab3b0d77,0xb02d19adcb9f1222303f364dd846575d565d639fc937015532e36d3d00622369
0x4adafb02da9dfb7fb267d68cdd36e8378a1ca0ea05b87c30cba60b20f6c25e7a,0xa93878ab62ca76657dc070aed6f20df90eefe5c15b8ee2b59fede571bcd1f80c,0x1fec00164ae4bf6f342b7fb773aab25537597ad672ef66981a5e6c6966e6bd1d
0x4d4937f136d523d479a811a7980e404c00da4e623978d715270e3942bd66667f,0xe44269e23f8524b8fef917a9a6a207425f6b79f262071da8066c756d49fc4fb7,0xaacaab42786f606da617247628a0b9e7c2bce12ffbbd20dcf196610ecacdba8d
0x58165d3fb2e13dcbf6a13a3e11066e9322c3a779bffa93535abf6eae9a55014a,0x144279079b9b2157fc665917353111af01ca2c7b89b4d2db6f0a787f407063cb,0x8c7a6df6cabca0ca58597b6c1c623f4fe06838c3368fe6fe879bc9a299b6f7d2
0xd85312c5413156df1e3c01b2d67b44fa57da4d67b477c2476f01cd03746e7216,0x65306163b4d189aae3d373f387da7a99a0ace60eccf1f0e1d8e3b30a507dc12,0xbea3018f1372a0cd032731f6a066cd24614d4546616b509c0adf85d1a1c9c250
0x663f3b006a38ba29bd5c8bc6ae74c8f0dec1c0361f65639cd6ab7dd37d76965d,0x6e3d3330453ce394790bb1a331e73b4e951b4fc5b0f40ecd18674c75f3ff417c,0xb3f05a32e52c49554d1089aa68bddf2701b0a2d164f7c0e55959d49afe25af30
0x3b20a613c0d6e720b056dfc0f7cbc945b8f8f9e679b2edd25c2cc1169b305845,0x9ab8864a6d7959df1db2577be448da2eaeebc692b408123daa2483555307ef50,0x2a4a3baa72fab53ce6e39618bd840e921dd6be5390d418fdbcd3063fbbcc5fd5
0x8ef230b0adf12e1755a4542297b6339496e5fe580771a90a0f1f219002daba3,0x3a32764f4c876d9131ad706b89eaf324e6b3937704c06d0d44beffeb999a735e,0x29dd3fd80b88ffa0a2b90dae7605514ac0f3015180797520ae9399ace28a8c5a
0x82af524fcab0cdca60c8f20477ed67d36b231e5d1ca10da94726a047b9636324,0x23d6c0806ac695c5598fb4c196dbf59657d1c33e29b76c81e5567e42ad040e46,0xe69f4162b9a239322d7aef596a0ad77036cf77de732e3523033dd2e29d382449
0xd01ff646e9b5109f67b0252c949fa4ef105ff938f59a1f486158c80257b63f68,0xe83a9aa8f7967d10fbba4c6972f1b37af2d4e269951db66bb235faa336d00fae,0xe113f2ad080ef94c0d1ab9664fa6152ce3db7720bffa98099a0a37a1faa96fbe
0x36e7f1ccd8af8c1cfb1b8d887c418b7625e9a497769ef48ac1c87f3e15c710d5,0xff31fb034f78ee82856c6a4dc0d83861cee8d8bccf5669137961908facace830,0x8498b56b77faf7524e07c2f311335b9af24582d3825b52798f4ba848d16ae56a
0x616657d8408185afc63396c3e35f0b603d343ade5a919b598b7bb71c886a7847,0x8c66c6a7d705a37153a9b395218ccfd46f56e47a8417008b26c14decdbfe6ea8,0xf70e203ea4e61b633082769be316c0586d4776375000af2f48aff9efa43546e4
0xbb68ded87de07b4f2ce1f62e04491baeac1eb0f0a45df2158547e3ca4f0dc026,0x7fe8ef2b7f0b08abeb6db6bc4271e6f45b60555df25538ee3f1b71ce2de82a60,0x9165dfb7f9c79f03fc4855c2504b8a3a8a170c11df45866af76bf32579fa7e00
0xcf93d25724f17543e1f5da153600258e45f77fdf88c123712fc2376d667e45da,0x3417de6aec1128475065c6c7acafa282e33ba371fb7d2ac406673ae49845ff27,0xea7b102dbd5e658a505775dad1cf05d4195ec8ec96ab696ba379f6febfe91ac
0x45c99b35c44fe5bcf9cd926de4d3321f4ee820462ed7173d415a8107ce735e4b,0x78f7d7eb7a41fac60119fc7eb747a0674c26f67b9cf1a91cdaef000fd6eb533e,0xc08581d5800395ed29b5e6c5181b1200546222a9151024cf483fcb32dd4ca369
0xa14de24a74d86f807ab35ccd8a57105f7f31a435b6858770a326c9fdff65184d,0xdad9e42d7e7f8a4240e06edea200d301c5527ae0a61cc74561a471664dfc1772,0x92cc2a5d8f8747c05eef44d5e90b81af7d58ccbf369fa7c24c811a18a9cc6d18
0x6f15efa3c0227af4eda458c64a6ca17a35c1bc9162eaff3a7a6cc0aabdfce4b1,0x2317ff48be561cff43db6f58eb28cb3404c65d556e9c2ec79b05af4b5393f8ba,0xe7cf145656aca8069b1b2a97d51a7405342015c5982b6444638aa8db8486d3f9
0x2886aed5ac2325e6a132aa05dac4fb1cd2fd9611b727270b7bb88fcc9acde84f,0x92726814f1806e9c24ef5dd53f608f1b22296ee0eaaea6c90cc770dc7b000768,0xec70c58192c4f99979cb15b0b65e4c28d89ae99a67fe57d86c220e276ac308e8
0x987b5a678391c2119a470e431e05a937fbfa987522c36da3f0fc56eb9cf942be,0x1c0594640ff903f691db10f27fd5e141ce248299cbba988b798d1367f357c821,0x584cd76eade2fd34f1cfbb046c873a699867fa497e9c863e6991cb6889d711a2
0xcf1d968f648097a7fd4caa4728dc8e55a7c88d94ffb3642a4356cb3f88d6bd42,0x47b146b57fab176b1342b4348fb600229040966168d4e4600e6912f09afe0e2e,0xaa7905beb964c273966bcae6d96919d7ab3052dc5cf909552d0c67ea14a8d161
0x228a495333faa848a15a1e3280be293d8cb9f929e23c83ae12d3fc06fc215291,0x21f0decf6195f11d019bca70652e9df7d3a6be1112f39fcc9e31e07d73542cb1,0x484aaf9b23c9abdd9e961a0c484f144a69e8e7db9e83fbeb110a9da0e142679d
0x6389913168f6db96d957ae16c688dd42150321e563e6057915c7dd24783ce5ea,0x5553ad2708262afa27c5f7f54573d6c336534a777b88b816b460c053f737289,0x68b0777a593abdaefd041178fd17bee730a7f5cb1d813b9afac504c0365094a
0x24d0f5f6f0f0465f702400792d93d0bf606fe09491b1c6473c946e36de787916,0x8df2a6d8cdc11aaffee75ce7a954f8a8591d1daa541355ba97785058e3c5d7e5,0xe869df4fc25e791b8ec7eae5f38e45e7276d8df468b94a1e5d1e18a1a795cbf
0xeb3417428d8a95a33fd475b9bc15f7b246c3fe798c762c98824749c3e1411954,0xe624c64b32b9ecf7cb0e86e459c1d0f8507f35d8b86a3b59ffac9edd747796e5,0x5e2d8ca89f92e4fea1d31f13ba3b8efe24b5fc873cd649ed7c2b8921d5e3670a
0x86fff80fe2511c30e7aff6aa7cdfbe4f843d167c8e8daff158afa827407e5398,0xed1e02d9f60c6b40b8773c72e5428aa5cfd994d587767b579afd195eb1da6707,0x4da1d9ebd78dea239fa101fb04e3b4f1d126da6b2261dafe4018a5b7363d03c6
0x544e2891cb3c86fe6015e702a94b83bb44f5b4cf092c01eb3dfa336263aa3a5b,0xe268eeabd2b4c96a8da7f172152c893b398c2a82dfb56eef2701e8ae967d22e7,0xa66fff1d74be019b41aa67655cbb1f60a2895d349582295c2a71980f4a6f06f6
0x53bd58b54a2df42e403f711adaf42b4408bb488d8f898f676e547b87267b5f0c,0x2aabfb847f09233d8e4ebd7e909efb547cdddcf57be419757601d9f2bf9847fb,0x884b8b739f52cf4ef2455aa6c7fbd0396f04ccce730cf85fadfd5b7c0a91ae7d
0xe793c8edc613cd255e234702416cfcc02e0808c8c3b628ddb1447bd69b09f4d0,0x889314bf6f76d0841d976b63f9a3b324d6b07c7b7ca168c84cb839fe6ee1b28d,0x314329552473abf4e39364ea845b613fa7e32909c91163ff2fd90680f4ab0a3f
0x4217787f72ad36ffbc772ab7e7b13353bf03ca5f7c8808b78f00059c257fd3b4,0x5ce3269cb3e594e78e44928584badeedecfd4e3dfad4537f33c3b714d392b8ca,0x84a5e44adc6f9af80fdcc6c014bbb33891cfcd116d18864d5de5f88a8987d170
0xc35aa4396f15aac9bbc8b38fc12141e1018008830b7f6474af22ebdabfceb8db,0x7a698f47468520163649cafb3e541b8235c279e2a56af704de908e0572189d9a,0xd2a8e044c6d7ce557749769a7886161d6b26f3ed611cda881ac3c64c900e4984
0x304c38fb8345303b67128f9d48cb5566b2573ef79f93930b8d0af7edc4a1092b,0xa93499f3e5a841b95d011bab31dad1876d1d98cb70bf1663090780a16046d961,0x43982f93f51255ee9fe74fd0febee39b6796f326225bfba18c7542249c3effdf
0xed380a4fee7e008cb49f817c0e26343a0fe0b8e8004e6cf2bdaee95fda4ac87c,0xf470893ab2618cd00f9efbab2fcfd8b8bac1a305356f804ebadb2f3beff1a564,0x48490b21958ff3d6985e61fb4821faa489319aae629d3efe00133fc92440aab4
0x5874d888489f3bc4325b4cf495b5485b68799cd557e4fe01d30c5a0511cb81bf,0xeebd0d9e4e313a9b97fdf18d323be30671217d8b016902a0978781445cd1873a,0x661ca00273aac88f0248eca1b5353dd6136cd0f5786f6804747aa80f6fbf6ea3
0x323315aa5780c7a019317b9c31249dbe097816e78c8203a5bd4105897bbdbef8,0xd39966fc23bf11ef0aea5fa5fb27088548f3aac3e6238560dce33b561b871a65,0x47e0aef8c4018beabe06affa1be1032ba6e15216ae99b562bbe54002063ca9d5
0xd2096172f9609b7e5c2f28172d7bc32d7074f20f75b0c0052dedb328d5560de7,0xf7201ef812b37859ae6192b2b02cc48cd42bea8b9e278951b318bfad0de8d2bc,0x757d309ee60475d4ada8ba975034fc7b27ff897f12539752d3b45bc55b2aab50
0xfb248c15da2ca88083ad7888dd07de14f6381bfa8d590f225533e1571c5e0d23,0x5187c7546d438a48d0c3739207a7ef395a390af68f8a3663e86799b8395757d7,0xb3e471c0700e0a94347401f5a36d5edb1c2fa5d4c6f7ba48f36d7552d2896aae
0x71e994ee8bae242e3d9e7991dcb46ece560295d17ce6653974a6175f4602da0a,0xb1e1b99e2219efff6a928c1a29175d21a31c84f339c759d37d6a3bc21d8bd84f,0x2d0a534b48e53e612b4206524a8269de87b173906f55c05c038dbd64fabed8de
0xbfcd4188e7e7ac69d1dd3c6ad72e1dabd5d91ae6e574bcea678816a8125ffd0a,0xcbcb98f1467739db0b36d4477037a779cf4b02966610f2c1bf8477b31f27f0a0,0xf5c8b14923b60109fc5733ba924499137462579fa271ffe234999c9ce30e6be1
0xdddcc146fb727a2b526a6dff424adf41eefa119dacffd6f913b864f2588849bd,0xe7a54f4c360e668cd48556c6d385c172d13b95f171f898e0b41d28ac87e48758,0xb5c220679af4b48a9edce61b5ae19eb9ae58e423b3ae8ab58a897e694a130a07
0xf5e0811905167f163407a269fe86892cb70f14caa08e03d5f2be45ab5b3b87c4,0x122894910ec6c566c8bf0dcab49b9f384721996deca00dd8a1b17c6be0c7e2a6,0x6875034f5ea71ee76259eeac92d4d0008765e3bce11f18bc03e7ecb337d058ad
0x737690a91e788b8a777b04043a57a779ff591d512d0dcadbda79f1e0eb449790,0xcd9e4e0061001921015df4411c21feadb0416a799e4df8da2757313090be9315,0xec02a3d479c3e47d64e1cad8ef8c4ad478c8e5b808e59aef26fe7d36bb5127a5
0x277bb44cdeef358e649e15064ab4da62e7484aa3a43be5bd1f3163912d7e7835,0x12e1248deb653c86e88ae885846fb8af2a9d9722c42d4c8ac5917cdd458b3fc7,0xbba5ebd70b7cef7489540cc79dadede5829146a96c8f31669ae171423a64f338
0x9369aeab3e14ffbc794ab8d06398a9cd6273125d4a601232acc86346c6d9b0d5,0xe1ceead2b716d320128a73c7e2fd7c22fffe99965254857d695fd6096f31649a,0x36b203cf216356f2628e1bfb0bd1ba374c2f38adaaec62fd91bade798f365fd4
0xfa73ae1e5384586251952c85a7c8f3995e38a6f390fe25c9b8de61d27198b82d,0x7453453955194a03f834131bb3b900611a3852279da3155142ef20a59316b5a8,0x3065d3ed327784e4ef6f16d25c9ebb89326d3b632b711683f76b857f840b4889
0x432a931276286da75908d108aaa5ca23bdea625e54288220740e6867d4c59019,0x3c02081d8bcfdfc122b2743b929e671959f4f8faf52616c7c666e0047f72c09,0x56202abfe173ad4f13d4a3b56e5addf3c8f02dbe05574261a4d159fe860c9efd
0x5bff1c53e16b27fb6a32cead5e15a56974693bb1eff3d2a9212b10b2694cb7ae,0xd4362bf46d2c552047e7e31699cbea355c5935a6af105b4ba2c7023e18627abf,0x1a92201b43203546619ed0d3f2e52a96b8fc4c91eabcdf243371fd408efd9055
